C:\Users\Labs_Shared\Stancil_S\ScannerFiles\MIDBehavioral\MID_Behavioral_20161218_LM_Trigger_v1-2002-2.edat3
ExperimentName	Subject	Session	Allowed	Clock.Information	DataFile.Basename	Display.RefreshRate	ExperimentVersion	Goodbye.DEVICE	Group	Handedness	NARGUID	PracticeRT	RandomSeed	RuntimeCapabilities	RuntimeVersion	RuntimeVersionExpected	SessionDate	SessionStartDateTimeUtc	SessionTime	StudioVersion	TitlePage.DEVICE	TrialOrder	triggercode	Block	BlockInstructions.DEVICE	BlockList	BlockList.Cycle	BlockList.Sample	BlockTitle	EndFix.Duration	EndFix.DurationError	EndFix.FinishTime	EndFix.OffsetDelay	EndFix.OffsetTime	EndFix.OnsetDelay	EndFix.OnsetTime	EndFix.OnsetToOnsetTime	EndFix.StartTime	Procedure[Block]	Running[Block]	Trial	GetReady.DEVICE	GetReady.RTTime	PeriodList	PeriodList.Cycle	PeriodList.Sample	PrepTime.Duration	PrepTime.DurationError	PrepTime.FinishTime	PrepTime.OffsetDelay	PrepTime.OffsetTime	PrepTime.OnsetDelay	PrepTime.OnsetTime	PrepTime.OnsetToOnsetTime	PrepTime.StartTime	Procedure[Trial]	Running[Trial]	Waiting4Scanner	Waiting4Scanner.Cycle	Waiting4Scanner.Sample	SubTrial	Anticipation.DEVICE	Anticipation.Duration	Anticipation.DurationError	Anticipation.FinishTime	Anticipation.OffsetDelay	Anticipation.OffsetTime	Anticipation.OnsetDelay	Anticipation.OnsetTime	Anticipation.OnsetToOnsetTime	Anticipation.StartTime	AnticipationDuration	Condition	Cue	Cue.CustomOnsetTime	Cue.Duration	Cue.DurationError	Cue.FinishTime	Cue.OffsetDelay	Cue.OffsetTime	Cue.OnsetDelay	Cue.OnsetTime	Cue.OnsetToOnsetTime	Cue.StartTime	Feedback.Duration	Feedback.DurationError	Feedback.FinishTime	Feedback.OffsetDelay	Feedback.OffsetTime	Feedback.OnsetDelay	Feedback.OnsetTime	Feedback.OnsetToOnsetTime	Feedback.StartTime	FeedbackDuration	meanrt	moneyamt	percentacc	prbacc	prbresp	prbrt	Probe	Probe.DEVICE	Probe.Duration	Probe.DurationError	Probe.FinishTime	Probe.OffsetDelay	Probe.OffsetTime	Probe.OnsetDelay	Probe.OnsetTime	Probe.OnsetToOnsetTime	Probe.RESP	Probe.RT	Probe.RTTime	Probe.StartTime	ProbeTime	Procedure[SubTrial]	ResponseCheck	Result	RunList	RunList.Cycle	RunList.Sample	RunMoney	Running[SubTrial]	TextDisplay1.Duration	TextDisplay1.DurationError	TextDisplay1.FinishTime	TextDisplay1.OffsetDelay	TextDisplay1.OffsetTime	TextDisplay1.OnsetDelay	TextDisplay1.OnsetTime	TextDisplay1.OnsetToOnsetTime	TextDisplay1.StartTime	TimeVersion16
MID_Behavioral_20161218_LM_Trigger	1	2	bygrewnd	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-10-25T17:13:47Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">5183697412027</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-10-25T17:13:47Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	MID_Behavioral_20161218_LM_Trigger_v1-2002-2	60.004	1.0.0.345	Keyboard	1	Left	2002	332	-325525883	Full	3.0.3.60	3.0.3.60	10-25-2022	10/25/2022 5:13:47 PM	12:13:47	3.0.3.43	Keyboard	1	t	1	Keyboard	1	1	1	MID_RUN1	5000	-17	376667	0	376667	17	371684	0	371670	BlockProc	BlockList	1	Keyboard	54681													WaitScreen	Waiting4Scanner	1	1	1																																																																									
MID_Behavioral_20161218_LM_Trigger	1	2	bygrewnd	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-10-25T17:13:47Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">5183697412027</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-10-25T17:13:47Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	MID_Behavioral_20161218_LM_Trigger_v1-2002-2	60.004	1.0.0.345	Keyboard	1	Left	2002	332	-325525883	Full	3.0.3.60	3.0.3.60	10-25-2022	10/25/2022 5:13:47 PM	12:13:47	3.0.3.43	Keyboard	1	t	1	Keyboard	1	1	1	MID_RUN1	5000	-17	376667	0	376667	17	371684	0	371670	BlockProc	BlockList	2			1	1	1	2000	-30	56682	0	56682	30	54712	0	54684	PrepProc	PeriodList																																																																												
MID_Behavioral_20161218_LM_Trigger	1	2	bygrewnd	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-10-25T17:13:47Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">5183697412027</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-10-25T17:13:47Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	MID_Behavioral_20161218_LM_Trigger_v1-2002-2	60.004	1.0.0.345	Keyboard	1	Left	2002	332	-325525883	Full	3.0.3.60	3.0.3.60	10-25-2022	10/25/2022 5:13:47 PM	12:13:47	3.0.3.43	Keyboard	1	t	1	Keyboard	1	1	1	MID_RUN1	5000	-17	376667	0	376667	17	371684	0	371670	BlockProc	BlockList	3			2	1	2										RunProc	PeriodList				1	Keyboard	3500	4	62082	0	62082	-4	58678	3500	58583	3500	SmallPun	LoseSmall.bmp	0	2000	-30	58582	0	58582	30	56712	1966	56688	1551	-18	64178	0	64178	18	62645	0	62628	1551	298	7.5	100	1	b	298	LoseProbe.bmp	Keyboard	399	0	62527	0	62527	-4	62178	400	b	298	62476	62088	399	RewardProc	Correct Response!	You keep $0.20!	1	1	1	0	RunList	50	-1	62627	0	62627	1	62578	67	62528	1
MID_Behavioral_20161218_LM_Trigger	1	2	bygrewnd	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-10-25T17:13:47Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">5183697412027</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-10-25T17:13:47Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	MID_Behavioral_20161218_LM_Trigger_v1-2002-2	60.004	1.0.0.345	Keyboard	1	Left	2002	332	-325525883	Full	3.0.3.60	3.0.3.60	10-25-2022	10/25/2022 5:13:47 PM	12:13:47	3.0.3.43	Keyboard	1	t	1	Keyboard	1	1	1	MID_RUN1	5000	-17	376667	0	376667	17	371684	0	371670	BlockProc	BlockList	3			2	1	2										RunProc	PeriodList				2	Keyboard	3000	0	69078	0	69078	0	66178	3000	66079	3000	Triangle	Neutral.bmp	0	2000	-17	66078	0	66078	17	64195	1983	64184	1551	-17	71178	0	71178	17	69644	0	69628	1551	298	10	100	1	b	295	NeutralProbe.bmp	Keyboard	399	0	69527	0	69527	0	69178	400	b	295	69473	69083	399	RewardProc	Correct Response!	No money at stake!	1	1	2	0	RunList	50	-1	69627	0	69627	1	69578	66	69528	2
MID_Behavioral_20161218_LM_Trigger	1	2	bygrewnd	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-10-25T17:13:47Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">5183697412027</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-10-25T17:13:47Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	MID_Behavioral_20161218_LM_Trigger_v1-2002-2	60.004	1.0.0.345	Keyboard	1	Left	2002	332	-325525883	Full	3.0.3.60	3.0.3.60	10-25-2022	10/25/2022 5:13:47 PM	12:13:47	3.0.3.43	Keyboard	1	t	1	Keyboard	1	1	1	MID_RUN1	5000	-17	376667	0	376667	17	371684	0	371670	BlockProc	BlockList	3			2	1	2										RunProc	PeriodList				3	Keyboard	2000	0	75078	0	75078	0	73178	1999	73079	2000	SmallPun	LoseSmall.bmp	0	2000	-16	73078	0	73078	16	71194	1984	71183	1551	-18	77177	0	77177	18	75644	0	75628	1551	296.5	11.25	100	1	b	295	LoseProbe.bmp	Keyboard	399	0	75526	0	75526	-1	75177	400	b	295	75472	75081	399	RewardProc	Correct Response!	You keep $0.20!	1	1	3	0	RunList	50	-1	75626	0	75626	1	75577	67	75527	3
MID_Behavioral_20161218_LM_Trigger	1	2	bygrewnd	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-10-25T17:13:47Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">5183697412027</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-10-25T17:13:47Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	MID_Behavioral_20161218_LM_Trigger_v1-2002-2	60.004	1.0.0.345	Keyboard	1	Left	2002	332	-325525883	Full	3.0.3.60	3.0.3.60	10-25-2022	10/25/2022 5:13:47 PM	12:13:47	3.0.3.43	Keyboard	1	t	1	Keyboard	1	1	1	MID_RUN1	5000	-17	376667	0	376667	17	371684	0	371670	BlockProc	BlockList	3			2	1	2										RunProc	PeriodList				4	Keyboard	1500	0	80577	0	80577	0	79177	1500	79078	1500	SmallReward	WinSmall.bmp	0	2000	-34	79077	0	79077	34	77211	1966	77189	1551	-18	82677	0	82677	18	81144	0	81128	1551	320.333333333333	12.16	100	1	b	368	WinProbe.bmp	Keyboard	399	0	81026	0	81026	0	80677	400	b	368	81045	80587	399	RewardProc	Correct Response!	You earn $0.20!	1	1	4	0.2	RunList	50	-1	81126	0	81126	1	81077	67	81027	4
MID_Behavioral_20161218_LM_Trigger	1	2	bygrewnd	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-10-25T17:13:47Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">5183697412027</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-10-25T17:13:47Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	MID_Behavioral_20161218_LM_Trigger_v1-2002-2	60.004	1.0.0.345	Keyboard	1	Left	2002	332	-325525883	Full	3.0.3.60	3.0.3.60	10-25-2022	10/25/2022 5:13:47 PM	12:13:47	3.0.3.43	Keyboard	1	t	1	Keyboard	1	1	1	MID_RUN1	5000	-17	376667	0	376667	17	371684	0	371670	BlockProc	BlockList	3			2	1	2										RunProc	PeriodList				5	Keyboard	1500	0	86077	0	86077	0	84677	1500	84578	1500	LgReward	WinBig.bmp	0	2000	-34	84577	0	84577	34	82711	1966	82689	1601	-18	88177	0	88177	18	86594	0	86577	1601	317.25	16.8333333333333	100	1	b	308	WinProbe.bmp	Keyboard	349	0	86476	0	86476	0	86177	350	b	308	86485	86080	349	RewardProc	Correct Response!	You earn $5!	1	1	5	5	RunList	50	-1	86576	0	86576	1	86527	67	86477	5
MID_Behavioral_20161218_LM_Trigger	1	2	bygrewnd	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-10-25T17:13:47Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">5183697412027</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-10-25T17:13:47Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	MID_Behavioral_20161218_LM_Trigger_v1-2002-2	60.004	1.0.0.345	Keyboard	1	Left	2002	332	-325525883	Full	3.0.3.60	3.0.3.60	10-25-2022	10/25/2022 5:13:47 PM	12:13:47	3.0.3.43	Keyboard	1	t	1	Keyboard	1	1	1	MID_RUN1	5000	-17	376667	0	376667	17	371684	0	371670	BlockProc	BlockList	3			2	1	2										RunProc	PeriodList				6	Keyboard	1500	0	91577	0	91577	0	90177	1500	90078	1500	SmallReward	WinSmall.bmp	0	2000	-17	90077	0	90077	17	88194	1983	88181	1601	-18	93677	0	93677	18	92094	0	92077	1601	299.4	17.4857142857143	100	1	b	228	WinProbe.bmp	Keyboard	349	0	91976	0	91976	0	91677	350	b	228	91905	91580	349	RewardProc	Correct Response!	You earn $0.20!	1	1	6	0.2	RunList	50	-1	92076	0	92076	1	92027	67	91977	6
MID_Behavioral_20161218_LM_Trigger	1	2	bygrewnd	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-10-25T17:13:47Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">5183697412027</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-10-25T17:13:47Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	MID_Behavioral_20161218_LM_Trigger_v1-2002-2	60.004	1.0.0.345	Keyboard	1	Left	2002	332	-325525883	Full	3.0.3.60	3.0.3.60	10-25-2022	10/25/2022 5:13:47 PM	12:13:47	3.0.3.43	Keyboard	1	t	1	Keyboard	1	1	1	MID_RUN1	5000	-17	376667	0	376667	17	371684	0	371670	BlockProc	BlockList	3			2	1	2										RunProc	PeriodList				7	Keyboard	1500	0	97077	0	97077	0	95677	1500	95578	1500	Triangle	Neutral.bmp	0	2000	-16	95577	0	95577	16	93693	1984	93681	1601	-17	99177	0	99177	17	97593	0	97577	1601	299.4	17.85	100	1	b	285	NeutralProbe.bmp	Keyboard	349	0	97476	0	97476	0	97177	350	b	285	97462	97080	349	RewardProc	Correct Response!	No money at stake!	1	1	7	0	RunList	50	-1	97576	0	97576	1	97527	66	97476	7
MID_Behavioral_20161218_LM_Trigger	1	2	bygrewnd	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-10-25T17:13:47Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">5183697412027</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-10-25T17:13:47Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	MID_Behavioral_20161218_LM_Trigger_v1-2002-2	60.004	1.0.0.345	Keyboard	1	Left	2002	332	-325525883	Full	3.0.3.60	3.0.3.60	10-25-2022	10/25/2022 5:13:47 PM	12:13:47	3.0.3.43	Keyboard	1	t	1	Keyboard	1	1	1	MID_RUN1	5000	-17	376667	0	376667	17	371684	0	371670	BlockProc	BlockList	3			2	1	2										RunProc	PeriodList				8	Keyboard	2500	0	103577	0	103577	0	101177	2499	101078	2500	LgPun	LoseBig.bmp	0	2000	-50	101077	0	101077	50	99227	1950	99189	1601	-18	105676	0	105676	18	104093	0	104077	1601	297.666666666667	18.1333333333333	100	1	b	289	LoseProbe.bmp	Keyboard	349	0	103975	0	103975	-1	103676	350	b	289	103965	103580	349	RewardProc	Correct Response!	You keep $5!	1	1	8	0	RunList	50	-1	104075	0	104075	1	104026	67	103976	8
MID_Behavioral_20161218_LM_Trigger	1	2	bygrewnd	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-10-25T17:13:47Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">5183697412027</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-10-25T17:13:47Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	MID_Behavioral_20161218_LM_Trigger_v1-2002-2	60.004	1.0.0.345	Keyboard	1	Left	2002	332	-325525883	Full	3.0.3.60	3.0.3.60	10-25-2022	10/25/2022 5:13:47 PM	12:13:47	3.0.3.43	Keyboard	1	t	1	Keyboard	1	1	1	MID_RUN1	5000	-17	376667	0	376667	17	371684	0	371670	BlockProc	BlockList	3			2	1	2										RunProc	PeriodList				9	Keyboard	3500	0	111076	0	111076	0	107676	3500	107577	3500	SmallReward	WinSmall.bmp	0	2000	-17	107576	0	107576	17	105693	1983	105680	1651	-18	113176	0	113176	18	111543	0	111526	1651	297.666666666667	18.36	88.8888888888889	0		0	WinProbe.bmp	Keyboard	299	0	111425	0	111425	0	111176	300		0	0	111079	299	RewardProc	You pressed too slow!	You did not earn $0.20!	1	1	9	0	RunList	50	-1	111525	0	111525	1	111476	67	111426	9
MID_Behavioral_20161218_LM_Trigger	1	2	bygrewnd	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-10-25T17:13:47Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">5183697412027</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-10-25T17:13:47Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	MID_Behavioral_20161218_LM_Trigger_v1-2002-2	60.004	1.0.0.345	Keyboard	1	Left	2002	332	-325525883	Full	3.0.3.60	3.0.3.60	10-25-2022	10/25/2022 5:13:47 PM	12:13:47	3.0.3.43	Keyboard	1	t	1	Keyboard	1	1	1	MID_RUN1	5000	-17	376667	0	376667	17	371684	0	371670	BlockProc	BlockList	3			2	1	2										RunProc	PeriodList				10	Keyboard	2000	0	117076	0	117076	0	115176	2000	115077	2000	SmallReward	WinSmall.bmp	0	2000	-17	115076	0	115076	17	113193	1983	113180	1651	-18	119176	0	119176	18	117543	0	117527	1651	297.666666666667	18.5454545454545	80	0		0	WinProbe.bmp	Keyboard	299	0	117425	0	117425	0	117176	300		0	0	117079	299	RewardProc	You pressed too slow!	You did not earn $0.20!	1	1	10	0	RunList	50	-1	117525	0	117525	1	117476	67	117426	10
MID_Behavioral_20161218_LM_Trigger	1	2	bygrewnd	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-10-25T17:13:47Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">5183697412027</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-10-25T17:13:47Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	MID_Behavioral_20161218_LM_Trigger_v1-2002-2	60.004	1.0.0.345	Keyboard	1	Left	2002	332	-325525883	Full	3.0.3.60	3.0.3.60	10-25-2022	10/25/2022 5:13:47 PM	12:13:47	3.0.3.43	Keyboard	1	t	1	Keyboard	1	1	1	MID_RUN1	5000	-17	376667	0	376667	17	371684	0	371670	BlockProc	BlockList	3			2	1	2										RunProc	PeriodList				11	Keyboard	4000	0	125076	0	125076	0	121176	4000	121077	4000	Triangle	Neutral.bmp	0	2000	-17	121076	0	121076	17	119193	1983	119181	1651	-17	127176	0	127176	17	125542	0	125526	1651	297.666666666667	18.7	72.7272727272727	0		0	NeutralProbe.bmp	Keyboard	299	0	125425	0	125425	0	125176	300		0	0	125079	299	RewardProc	You pressed too slow!	No money at stake!	1	1	11	0	RunList	50	-1	125525	0	125525	1	125476	66	125426	11
MID_Behavioral_20161218_LM_Trigger	1	2	bygrewnd	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-10-25T17:13:47Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">5183697412027</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-10-25T17:13:47Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	MID_Behavioral_20161218_LM_Trigger_v1-2002-2	60.004	1.0.0.345	Keyboard	1	Left	2002	332	-325525883	Full	3.0.3.60	3.0.3.60	10-25-2022	10/25/2022 5:13:47 PM	12:13:47	3.0.3.43	Keyboard	1	t	1	Keyboard	1	1	1	MID_RUN1	5000	-17	376667	0	376667	17	371684	0	371670	BlockProc	BlockList	3			2	1	2										RunProc	PeriodList				12	Keyboard	1500	0	130576	0	130576	0	129176	1500	129077	1500	SmallPun	LoseSmall.bmp	0	2000	-16	129076	0	129076	16	127192	1984	127181	1651	-17	132676	0	132676	17	131042	0	131026	1651	297.666666666667	18.6461538461538	66.6666666666667	0		0	LoseProbe.bmp	Keyboard	299	0	130925	0	130925	0	130676	300		0	0	130579	299	RewardProc	You pressed too slow!	You lose $0.20!	1	1	12	-0.2	RunList	50	-1	131025	0	131025	1	130976	66	130926	12
MID_Behavioral_20161218_LM_Trigger	1	2	bygrewnd	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-10-25T17:13:47Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">5183697412027</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-10-25T17:13:47Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	MID_Behavioral_20161218_LM_Trigger_v1-2002-2	60.004	1.0.0.345	Keyboard	1	Left	2002	332	-325525883	Full	3.0.3.60	3.0.3.60	10-25-2022	10/25/2022 5:13:47 PM	12:13:47	3.0.3.43	Keyboard	1	t	1	Keyboard	1	1	1	MID_RUN1	5000	-17	376667	0	376667	17	371684	0	371670	BlockProc	BlockList	3			2	1	2										RunProc	PeriodList				13	Keyboard	2500	1	137076	0	137076	-1	134675	2500	134577	2500	LgReward	WinBig.bmp	0	2000	-16	134576	0	134576	16	132692	1983	132680	1631	-15	139175	0	139175	15	137559	0	137546	1631	297.666666666667	18.7571428571429	61.5384615384615	0		0	WinProbe.bmp	Keyboard	319	0	137444	0	137444	-1	137175	317		0	0	137079	319	RewardProc	You pressed too slow!	You did not earn $5!	1	1	13	0	RunList	50	2	137544	0	137544	-2	137492	67	137445	13
MID_Behavioral_20161218_LM_Trigger	1	2	bygrewnd	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-10-25T17:13:47Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">5183697412027</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-10-25T17:13:47Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	MID_Behavioral_20161218_LM_Trigger_v1-2002-2	60.004	1.0.0.345	Keyboard	1	Left	2002	332	-325525883	Full	3.0.3.60	3.0.3.60	10-25-2022	10/25/2022 5:13:47 PM	12:13:47	3.0.3.43	Keyboard	1	t	1	Keyboard	1	1	1	MID_RUN1	5000	-17	376667	0	376667	17	371684	0	371670	BlockProc	BlockList	3			2	1	2										RunProc	PeriodList				14	Keyboard	3000	0	144075	0	144075	0	141175	3000	141076	3000	SmallReward	WinSmall.bmp	0	2000	-17	141075	0	141075	17	139192	1983	139179	1631	-14	146175	0	146175	14	144558	0	144546	1631	296	19.04	64.2857142857143	1	b	286	WinProbe.bmp	Keyboard	319	0	144444	0	144444	0	144175	317	b	286	144461	144078	319	RewardProc	Correct Response!	You earn $0.20!	1	1	14	0.2	RunList	50	2	144544	0	144544	-2	144492	66	144445	14
MID_Behavioral_20161218_LM_Trigger	1	2	bygrewnd	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-10-25T17:13:47Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">5183697412027</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-10-25T17:13:47Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	MID_Behavioral_20161218_LM_Trigger_v1-2002-2	60.004	1.0.0.345	Keyboard	1	Left	2002	332	-325525883	Full	3.0.3.60	3.0.3.60	10-25-2022	10/25/2022 5:13:47 PM	12:13:47	3.0.3.43	Keyboard	1	t	1	Keyboard	1	1	1	MID_RUN1	5000	-17	376667	0	376667	17	371684	0	371670	BlockProc	BlockList	3			2	1	2										RunProc	PeriodList				15	Keyboard	1500	0	149575	0	149575	0	148175	1500	148076	1500	SmallPun	LoseSmall.bmp	0	2000	-17	148075	0	148075	17	146192	1983	146179	1631	-14	151675	0	151675	14	150058	0	150046	1631	296	18.9375	60	0		0	LoseProbe.bmp	Keyboard	319	0	149944	0	149944	0	149675	317		0	0	149578	319	RewardProc	You pressed too slow!	You lose $0.20!	1	1	15	-0.2	RunList	50	2	150044	0	150044	-2	149992	66	149945	15
